"Chr","CO Start","CO End","length"
1,12169708,12177764,8056
1,12169774,12170650,876
1,12169787,12170650,863
1,12169787,12170532,745
1,12170532,12176322,5790
1,12170532,12176349,5817
1,12170532,12171712,1180
1,12170650,12171712,1062
1,12170655,12180323,9668
1,12170666,12176349,5683
1,12170666,12171712,1046
1,12170666,12176349,5683
1,12171555,12180255,8700
1,12177875,12180323,2448
1,12209994,12210891,897
1,12210891,12211626,735
1,12250058,12255416,5358
1,12254174,12255416,1242
1,12254174,12255547,1373
1,12254447,12256087,1640
1,12338377,12344394,6017
1,12338382,12344369,5987
1,12344369,12352857,8488
1,12344374,12352857,8483
1,12347793,12357413,9620
1,12352857,12357243,4386
1,12352857,12356603,3746
1,12352950,12356603,3653
1,12496506,12498445,1939
1,12513998,12519415,5417
1,12514003,12516926,2923
1,12519299,12520146,847
1,12661273,12663168,1895
1,12661324,12663168,1844
1,12661324,12663329,2005
1,12852722,12855584,2862
1,12852722,12853989,1267
1,12852758,12853989,1231
1,12983056,12990895,7839
1,13643091,13647501,4410
1,13679217,13684658,5441
1,13684658,13689581,4923
1,14033112,14033646,534
1,14033112,14033646,534
1,14033112,14033426,314
1,14033143,14033426,283
1,14164038,14165556,1518
1,14164038,14165556,1518
1,14164177,14165938,1761
1,14164177,14165553,1376
1,14164197,14165938,1741
1,14164337,14165556,1219
1,14164337,14165556,1219
1,14164337,14169991,5654
1,14164337,14165676,1339
1,14164337,14166111,1774
1,14165556,14165899,343
1,14165938,14169991,4053
1,14166621,14169005,2384
1,14166639,14169005,2366
1,14449198,14449302,104
1,15067820,15075522,7702
1,15067854,15068604,750
1,15068604,15071030,2426
1,15068604,15075522,6918
1,15068740,15071030,2290
1,15068782,15069306,524
1,15069390,15075522,6132
1,15070508,15075522,5014
1,15071141,15075522,4381
1,15169935,15176339,6404
1,15169946,15176108,6162
1,15771361,15774769,3408
1,15907388,15908246,858
1,15995431,15999562,4131
1,15995473,15999516,4043
1,16045315,16047137,1822
1,16045504,16048550,3046
1,16058883,16068441,9558
1,16059198,16064515,5317
1,16060486,16064515,4029
1,16062255,16067724,5469
1,16062255,16067724,5469
1,16371632,16378113,6481
1,16372398,16377974,5576
1,16775895,16777433,1538
1,16777521,16778684,1163
1,16779244,16783464,4220
1,16783464,16792461,8997
1,16783620,16789465,5845
1,16783682,16792521,8839
1,16783688,16792461,8773
1,16784414,16792521,8107
1,16784414,16789465,5051
1,16792461,16802074,9613
1,16792461,16797219,4758
1,16792461,16797219,4758
1,16792521,16795405,2884
1,16793912,16799917,6005
1,16821105,16825995,4890
1,17681454,17690003,8549
1,17681499,17690003,8504
1,17681499,17686866,5367
1,17681499,17686866,5367
1,17681499,17686866,5367
1,17681499,17690003,8504
1,17681499,17690003,8504
1,17690003,17695167,5164
1,17843988,17850964,6976
1,17882653,17885048,2395
1,17886361,17890924,4563
1,17886448,17890924,4476
1,18625392,18630563,5171
1,18974390,18980219,5829
1,18976884,18980219,3335
1,18978470,18980781,2311
1,18980219,18984920,4701
1,19100942,19104390,3448
1,19100942,19101737,795
1,19252635,19256198,3563
1,19252635,19256198,3563
1,19252635,19260547,7912
1,19256198,19263004,6806
1,19260249,19263143,2894
1,19263004,19263143,139
1,19474802,19476375,1573
1,19474802,19476375,1573
1,19633901,19642337,8436
1,19637365,19642472,5107
1,19678672,19680178,1506
1,19679459,19680783,1324
1,19679687,19680783,1096
1,19974972,19978981,4009
1,19976359,19978981,2622
1,21694270,21703406,9136
1,21699505,21703406,3901
1,21710048,21713635,3587
1,21710787,21713786,2999
1,21711001,21713786,2785
1,21713635,21721398,7763
1,21713786,21721398,7612
1,21713786,21721398,7612
1,21713823,21722510,8687
1,22259689,22260272,583
1,22376186,22384893,8707
1,22432934,22437508,4574
1,22634662,22641334,6672
1,22634863,22641998,7135
1,22634864,22639368,4504
1,22639707,22643947,4240
1,22641334,22643947,2613
1,23110666,23116469,5803
1,23111347,23116667,5320
1,23111347,23116930,5583
1,23111347,23116667,5320
1,23111347,23116667,5320
1,23111347,23116667,5320
1,23111347,23116930,5583
1,23224787,23229125,4338
1,23224863,23229352,4489
1,23226308,23229352,3044
1,23240587,23244064,3477
1,23557922,23563598,5676
1,23557922,23566708,8786
1,23566233,23566797,564
1,24206863,24208009,1146
1,24207403,24215213,7810
1,24212915,24215225,2310
1,24671082,24673475,2393
1,24671082,24673475,2393
1,24671153,24673475,2322
1,24671202,24675535,4333
1,24676752,24678908,2156
1,24739921,24746073,6152
1,25371881,25374411,2530
1,25374551,25375324,773
1,25375059,25378159,3100
1,25375324,25375679,355
1,25375679,25379276,3597
1,25375679,25378159,2480
1,25410867,25411020,153
1,25418155,25423338,5183
1,25423338,25425465,2127
1,25705131,25710814,5683
1,26948708,26951564,2856
1,27100391,27103172,2781
1,27100391,27108578,8187
1,27100446,27107018,6572
1,27100446,27107046,6600
1,27100446,27107018,6572
1,27101572,27111134,9562
1,27107046,27112375,5329
1,27107586,27108578,992
1,27119700,27126864,7164
1,27133743,27141078,7335
1,27134043,27140851,6808
1,27141130,27141593,463
1,27501695,27507964,6269
1,27625539,27627371,1832
1,27625539,27626149,610
1,27627335,27628869,1534
1,27627415,27630633,3218
1,27628269,27638257,9988
1,27978832,27982375,3543
1,28459291,28463380,4089
1,28963311,28964490,1179
1,28964713,28964818,105
1,28964818,28968040,3222
1,29190772,29192145,1373
1,29191570,29196597,5027
1,29787109,29788910,1801
1,30256482,30263575,7093
1,30256596,30258303,1707
1,30259081,30263250,4169
1,30279241,30286181,6940
1,30279241,30286165,6924
1,30279241,30284200,4959
1,30284270,30293279,9009
1,30683633,30686020,2387
1,30683633,30686020,2387
1,30683647,30686020,2373
1,30683647,30686020,2373
1,30684362,30686020,1658
1,31206057,31207566,1509
1,31744281,31747334,3053
1,32052805,32054052,1247
1,32081142,32087111,5969
1,32153886,32159320,5434
1,32578077,32580250,2173
1,32579652,32581175,1523
1,33112486,33120623,8137
1,33120555,33124580,4025
1,33121953,33123842,1889
1,33121961,33124634,2673
1,33122740,33124634,1894
1,33216241,33219233,2992
1,33317949,33321286,3337
1,34945212,34946756,1544
1,34946756,34950777,4021
1,34950521,34955830,5309
1,34950639,34959849,9210
1,34950777,34960438,9661
1,34955830,34962403,6573
1,34960438,34961182,744
1,34962403,34970565,8162
1,34993569,34995893,2324
1,34993572,34997402,3830
1,34993572,34997402,3830
1,34995893,34997399,1506
1,34996165,34997405,1240
1,35213738,35217574,3836
1,36345816,36346623,807
1,36913868,36916009,2141
1,36914680,36917454,2774
1,37125045,37125624,579
1,38548326,38550575,2249
1,38867911,38870244,2333
1,38868115,38871607,3492
1,38868115,38870244,2129
1,38868115,38870931,2816
1,38871647,38879590,7943
1,39243514,39248029,4515
1,39332739,39336405,3666
1,39855780,39857312,1532
1,39902089,39903286,1197
1,40229589,40230579,990
1,41425908,41430609,4701
1,41425908,41430539,4631
1,42015046,42020380,5334
1,42516388,42520422,4034
1,43107569,43110857,3288
1,43686796,43692662,5866
1,43756832,43765408,8576
1,43756832,43761371,4539
1,43759403,43768935,9532
1,43762282,43769455,7173
1,43762282,43769455,7173
1,43762284,43769455,7171
1,43762284,43769411,7127
1,43762362,43769455,7093
1,43765015,43765408,393
1,43765408,43768935,3527
1,43767816,43769455,1639
1,43768249,43769876,1627
1,43768935,43769455,520
1,43769015,43769411,396
1,43769455,43769877,422
1,44173608,44179087,5479
1,44176824,44179060,2236
1,45505827,45512252,6425
1,45508293,45512252,3959
1,45508318,45512277,3959
1,45512306,45513947,1641
1,45768008,45775048,7040
1,45768008,45771878,3870
1,45918987,45928305,9318
1,45923432,45928305,4873
1,45927189,45928305,1116
1,45927189,45928305,1116
1,45927189,45928305,1116
1,45927189,45928305,1116
1,45928305,45938015,9710
1,45930613,45939925,9312
1,45930686,45938015,7329
1,45938565,45946491,7926
1,45939925,45946491,6566
1,45939925,45946491,6566
1,45940042,45946491,6449
1,45940042,45946491,6449
1,45941144,45941735,591
1,45946491,45949598,3107
1,46119756,46125136,5380
1,46628742,46629889,1147
1,46737453,46737762,309
1,46841375,46848879,7504
1,46841605,46848894,7289
1,46841605,46848894,7289
1,46923985,46930058,6073
1,47177929,47178476,547
1,47322860,47325201,2341
1,47455786,47457001,1215
1,47504148,47507580,3432
1,47504204,47507580,3376
1,47769166,47774442,5276
1,47769166,47774442,5276
1,47906077,47906706,629
1,48547765,48553056,5291
1,48547765,48552891,5126
1,48547765,48552891,5126
1,48650753,48658401,7648
1,48658598,48660054,1456
1,48658598,48660689,2091
1,50951472,50957362,5890
1,50951691,50952932,1241
1,50951698,50959077,7379
1,50952261,50956474,4213
1,50952932,50959077,6145
1,50957185,50959005,1820
1,51397400,51398956,1556
1,52085005,52093581,8576
1,52087029,52096084,9055
1,52091509,52095894,4385
1,52091614,52096087,4473
1,52091614,52093581,1967
1,52156676,52161960,5284
1,52563676,52567938,4262
1,52603136,52604395,1259
1,53152937,53157221,4284
1,53152937,53154819,1882
1,53152937,53157221,4284
1,53154891,53162324,7433
1,53162324,53164498,2174
1,53413513,53422401,8888
1,53413513,53423512,9999
1,53465701,53467626,1925
1,53663024,53664940,1916
1,54128362,54132064,3702
1,55385478,55388394,2916
1,55388394,55389746,1352
1,55503972,55506290,2318
1,56074277,56078858,4581
1,56562101,56562734,633
1,56566984,56576530,9546
1,56573341,56573666,325
1,56574923,56576308,1385
1,56746957,56750933,3976
1,58451407,58458752,7345
1,59577094,59577972,878
1,60145121,60153734,8613
1,60146795,60153430,6635
1,60153892,60161367,7475
1,61016466,61019585,3119
1,61016648,61019585,2937
1,61134762,61138920,4158
1,61134762,61138782,4020
1,61134762,61138920,4158
1,61628652,61630352,1700
1,61708310,61716958,8648
1,61710668,61716958,6290
1,61940726,61948946,8220
1,62710244,62713701,3457
1,63536645,63538935,2290
1,63536645,63539291,2646
1,63536649,63538935,2286
1,63539243,63540508,1265
1,64718455,64721870,3415
1,64886449,64889748,3299
1,69287306,69289155,1849
1,69876747,69882036,5289
1,69876747,69882187,5440
1,69881124,69889217,8093
1,72701677,72704976,3299
1,72703035,72704976,1941
1,73339219,73348811,9592
1,73341217,73349070,7853
1,73508283,73512405,4122
1,74704458,74711960,7502
1,74711166,74711960,794
1,74711166,74712057,891
1,77141315,77150391,9076
1,77145053,77145631,578
1,80087860,80089279,1419
1,80918898,80922392,3494
1,80919039,80920051,1012
1,80919082,80921144,2062
1,80963920,80964779,859
1,81105191,81106836,1645
1,82185740,82189137,3397
1,83003811,83010833,7022
1,85016181,85018240,2059
1,85831929,85834258,2329
1,86608316,86613257,4941
1,86608316,86612779,4463
1,86608355,86613229,4874
1,88004852,88014201,9349
1,88010600,88014649,4049
1,88010600,88014257,3657
1,88010600,88014201,3601
1,88480013,88480910,897
1,90219916,90224746,4830
1,90327183,90329549,2366
1,92512218,92513435,1217
1,93267552,93268250,698
1,94819191,94822585,3394
1,98163812,98164521,709
1,103419517,103421670,2153
1,107182778,107188012,5234
1,107309371,107312315,2944
1,154952680,154957916,5236
1,154956963,154957673,710
1,156211784,156220073,8289
1,157236881,157241690,4809
1,160805931,160810319,4388
1,160818098,160820999,2901
1,161307371,161307988,617
1,162463177,162464056,879
1,164369620,164370994,1374
1,164947675,164950053,2378
1,164950053,164952720,2667
1,164950053,164956670,6617
1,164950053,164951739,1686
1,164950053,164957005,6952
1,164950053,164956670,6617
1,164950250,164951739,1489
1,165073924,165075615,1691
1,166801975,166807261,5286
1,170534435,170535857,1422
1,170848478,170848788,310
1,173225197,173234223,9026
1,173226670,173234175,7505
1,173226765,173234239,7474
1,173680976,173681548,572
1,174225832,174227979,2147
1,174286876,174294375,7499
1,174374270,174375607,1337
1,174560128,174562416,2288
1,174560135,174562392,2257
1,176053129,176054322,1193
1,176055282,176063081,7799
1,178287197,178288564,1367
1,178320219,178321209,990
1,179720291,179724228,3937
1,179720681,179724228,3547
1,179982890,179988345,5455
1,180339445,180339674,229
1,180504666,180512717,8051
1,180512717,180513854,1137
1,180607645,180608798,1153
1,180816044,180817087,1043
1,182096361,182104003,7642
1,182355285,182357862,2577
1,182355285,182357819,2534
1,182541258,182542945,1687
1,182543162,182544250,1088
1,182626234,182627189,955
1,183801483,183806782,5299
1,183801483,183811363,9880
1,183801483,183811363,9880
1,183806782,183816571,9789
1,183806782,183816770,9988
1,183808178,183816814,8636
1,183808178,183816657,8479
1,183811363,183816657,5294
1,183811403,183816814,5411
1,183811862,183816657,4795
1,183811862,183816110,4248
1,183811862,183816110,4248
1,183841760,183842111,351
1,184624593,184632986,8393
1,184626681,184632986,6305
1,187588875,187590510,1635
1,187974422,187977492,3070
1,187977553,187979436,1883
1,187977553,187979875,2322
1,187977919,187979160,1241
1,187978177,187979160,983
1,188032197,188034213,2016
1,188063758,188072268,8510
1,188063758,188072268,8510
1,188064629,188073048,8419
1,188064698,188073310,8612
1,188065469,188067476,2007
1,188065469,188073467,7998
1,188066341,188072268,5927
1,188067476,188072268,4792
1,188114686,188118669,3983
1,188181397,188186286,4889
1,188181406,188185871,4465
1,189589495,189593948,4453
1,191579388,191586161,6773
1,191581447,191586270,4823
1,191581848,191586117,4269
1,191581939,191586117,4178
1,191581939,191586117,4178
1,191582423,191586004,3581
1,191582423,191586004,3581
1,191583270,191586117,2847
1,191852681,191860700,8019
1,191860700,191863338,2638
1,191860700,191863440,2740
1,191988047,191991741,3694
1,192026502,192033186,6684
1,192026877,192032935,6058
1,192041641,192047340,5699
1,192041703,192045777,4074
1,192041703,192045777,4074
1,192041828,192044225,2397
1,192041828,192043252,1424
1,192043374,192045777,2403
1,193869757,193873025,3268
1,193870607,193873374,2767
1,194572062,194573002,940
1,194572196,194572871,675
1,194659731,194666703,6972
1,194676230,194684979,8749
1,194677716,194685130,7414
1,194684979,194687345,2366
1,194684979,194687297,2318
1,194685117,194687297,2180
1,194685117,194687297,2180
1,194685157,194687345,2188
1,194685157,194687345,2188
1,194934455,194942775,8320
1,195180919,195187180,6261
1,195181245,195185384,4139
1,195187249,195188388,1139
1,195331696,195338336,6640
1,195337224,195338336,1112
1,195558014,195560594,2580
1,195558014,195560594,2580
1,195682328,195691429,9101
1,196052894,196053428,534
1,196053011,196053428,417
1,196053011,196055624,2613
1,196429321,196430203,882
1,197068907,197071053,2146
1,197266250,197273518,7268
1,198192910,198199054,6144
1,198735087,198739871,4784
1,198735087,198743035,7948
1,198739651,198741663,2012
1,198741663,198743035,1372
1,198741663,198743035,1372
1,199485130,199485611,481
1,199486279,199492138,5859
1,199631935,199636015,4080
1,199631971,199636015,4044
1,199631971,199640867,8896
1,199636015,199640123,4108
1,199741146,199742002,856
1,200002089,200011069,8980
1,200002934,200011055,8121
1,200002934,200011069,8135
1,200002934,200011069,8135
1,200004567,200011329,6762
1,200005349,200011055,5706
1,200005484,200011329,5845
1,200005516,200011329,5813
1,200008702,200011069,2367
1,200011055,200011329,274
1,200160045,200162854,2809
1,200269366,200269973,607
1,200409809,200412107,2298
1,200412304,200412911,607
1,200629105,200630668,1563
1,200629234,200630549,1315
1,200635089,200637462,2373
1,200721519,200725160,3641
1,200861256,200863578,2322
1,200904744,200912858,8114
1,200910196,200911267,1071
1,201625349,201627281,1932
1,201630078,201638355,8277
1,202159620,202160385,765
1,202167531,202169549,2018
1,203718050,203721274,3224
1,206158423,206160430,2007
1,206317492,206323388,5896
1,206323388,206325100,1712
1,207036342,207037322,980
1,207055353,207055922,569
1,207181620,207191051,9431
1,207529183,207531523,2340
1,207600263,207606087,5824
1,207600263,207606087,5824
1,207710549,207713135,2586
1,208098710,208107175,8465
1,208431345,208435571,4226
1,208818199,208821959,3760
1,208818199,208822076,3877
1,208818255,208822076,3821
1,208822076,208827179,5103
1,208825665,208827179,1514
1,209124558,209125780,1222
1,209126563,209127212,649
1,209231191,209234073,2882
1,210465148,210473174,8026
1,210466515,210472610,6095
1,210997594,211007449,9855
1,211005786,211007449,1663
1,211256438,211260378,3940
1,211261161,211264940,3779
1,211261418,211263665,2247
1,211324991,211331330,6339
1,211326114,211331369,5255
1,211520140,211520390,250
1,211520500,211524579,4079
1,211523204,211531610,8406
1,211523204,211531610,8406
1,211531610,211538461,6851
1,211532896,211538176,5280
1,213091048,213097631,6583
1,213093914,213097631,3717
1,213095417,213097597,2180
1,213231164,213231968,804
1,213536560,213538492,1932
1,214720230,214725320,5090
1,214723689,214725290,1601
1,214723689,214725389,1700
1,214723689,214726238,2549
1,214724009,214725832,1823
1,216161751,216164507,2756
1,216161751,216162465,714
1,216164290,216164507,217
1,216685971,216694746,8775
1,216691364,216694626,3262
1,216692421,216694731,2310
1,216692421,216693479,1058
1,216692552,216696253,3701
1,216692661,216694626,1965
1,216693479,216695038,1559
1,216694626,216694953,327
1,216694746,216696172,1426
1,216696253,216697706,1453
1,217113214,217114738,1524
1,217211212,217212143,931
1,217211250,217212143,893
1,217211561,217212105,544
1,217252363,217252472,109
1,217638947,217641468,2521
1,219568867,219572325,3458
1,222399497,222399797,300
1,222400875,222403118,2243
1,222976475,222979802,3327
1,222976475,222979802,3327
1,222976475,222983676,7201
1,223157447,223165736,8289
1,223162505,223164931,2426
1,223313544,223316939,3395
1,223399492,223400005,513
1,223760004,223761744,1740
1,223764324,223773357,9033
1,223767644,223773415,5771
1,223772383,223777170,4787
1,223773415,223776669,3254
1,223826179,223834091,7912
1,223826179,223834059,7880
1,223826179,223833208,7029
1,223826278,223834091,7813
1,224243368,224247039,3671
1,224246580,224256329,9749
1,224247039,224256329,9290
1,224247388,224256329,8941
1,224372774,224378682,5908
1,224372774,224373193,419
1,224372774,224378682,5908
1,224372774,224378682,5908
1,224373193,224378682,5489
1,224918023,224920858,2835
1,225033801,225039347,5546
1,225033801,225040153,6352
1,225034668,225039347,4679
1,225039822,225044299,4477
1,225039822,225044299,4477
1,225123069,225132788,9719
1,225123069,225132766,9697
1,225622827,225628485,5658
1,225878148,225883445,5297
1,226217518,226223226,5708
1,228019866,228022049,2183
1,228019866,228021900,2034
1,228019995,228022049,2054
1,228019995,228021900,1905
1,228052998,228056852,3854
1,228253773,228255039,1266
1,228253773,228255039,1266
1,228665171,228665920,749
1,229603363,229603615,252
1,229901049,229905383,4334
1,230180118,230186447,6329
1,230184723,230187527,2804
1,230184723,230187527,2804
1,230791661,230793364,1703
1,230879672,230882354,2682
1,230879799,230882407,2608
1,230879799,230887514,7715
1,230879799,230882354,2555
1,232514040,232519012,4972
1,232742077,232743258,1181
1,232742326,232743258,932
1,233449416,233457589,8173
1,234259342,234261886,2544
1,234259518,234260766,1248
1,234260766,234261946,1180
1,234771219,234775616,4397
1,234901060,234910934,9874
1,235441582,235449088,7506
1,235974488,235982719,8231
1,235975814,235982719,6905
1,236237377,236240821,3444
1,236572842,236574285,1443
1,236780814,236790003,9189
1,237053353,237055662,2309
1,238464323,238465656,1333
1,238813548,238818340,4792
1,239612480,239618686,6206
1,239612718,239618652,5934
1,240380717,240383373,2656
1,240483950,240486342,2392
1,240765396,240766848,1452
1,243814406,243820213,5807
1,245694040,245697301,3261
1,245694047,245698197,4150
1,245694047,245698197,4150
1,245790604,245791523,919
1,245870594,245873170,2576
1,246349243,246353343,4100
1,246349252,246354510,5258
1,246407604,246408155,551
1,246408155,246414763,6608
1,246408472,246415441,6969
1,246408509,246412957,4448
1,246408546,246410326,1780
1,246408594,246415477,6883
1,246409943,246414763,4820
1,246409971,246415441,5470
1,246409971,246415491,5520
1,246412937,246414808,1871
1,246467917,246472209,4292
1,246472209,246479963,7754
1,246472209,246481613,9404
1,246472209,246479963,7754
1,246472209,246480820,8611
1,246472209,246479491,7282
1,246479491,246485260,5769
1,246479963,246485260,5297
1,249497471,249505290,7819
1,249530930,249537785,6855
1,250888325,250891312,2987
1,250888532,250891200,2668
1,250893932,250895974,2042
1,250906453,250913256,6803
1,251102861,251103315,454
1,251156168,251160227,4059
1,251157145,251163620,6475
1,251157171,251165197,8026
1,251159848,251165197,5349
1,251159848,251165197,5349
1,251163620,251172506,8886
1,251165197,251169821,4624
1,251982982,251987386,4404
1,252374502,252374873,371
1,253149309,253154522,5213
1,253272074,253274569,2495
1,253300607,253302757,2150
1,253303326,253307771,4445
1,253303703,253308147,4444
1,253378345,253383889,5544
1,253381673,253389152,7479
1,253383538,253386844,3306
1,253386715,253389152,2437
1,253386844,253391071,4227
1,253715976,253719199,3223
